Date,Open,High,Low,Close,Adj Close,Volume
20180314,277.809998,278.019989,274.670013,275.299988,263.597351,105895100
20180315,275.880005,276.609985,274.429993,275,263.31015,83433000
20180316,274.5,275.390015,274.140015,274.200012,263.595703,100343700
20180319,273.350006,274.399994,268.619995,270.48999,260.029114,109208400
20180320,270.940002,271.670013,270.179993,270.950012,260.471405,59757300
20180321,270.899994,273.269989,270.190002,270.429993,259.971466,78709600
20180322,267.910004,268.869995,263.359985,263.670013,253.472916,148785900
20180323,264.170013,264.540009,257.829987,258.049988,248.070251,183534800
20180326,262.130005,265.429993,259.410004,265.109985,254.857224,141956100
20180327,266.170013,266.769989,258.839996,260.600006,250.521652,129941400
20180328,260.75,262.640015,258.579987,259.829987,249.781372,146452300
20180329,261.119995,265.26001,259.839996,263.149994,252.973022,111601600
20180402,262.549988,263.130005,254.669998,257.470001,247.512665,186286300
20180403,258.869995,261.309998,256.839996,260.769989,250.685059,119956900
20180404,256.75,264.359985,256.600006,263.559998,253.367157,123715300
20180405,265.549988,266.640015,264.320007,265.640015,255.36673,82652600
20180406,263.420013,265.109985,258,259.720001,249.675644,179521200
20180409,261.369995,264.839996,259.940002,261,250.906128,105442900
20180410,264.269989,266.040009,262.980011,265.149994,254.89563,103529000
20180411,263.470001,265.640015,263.390015,263.76001,253.559464,91140200
20180412,265.26001,267,265.059998,265.929993,255.645523,68890500
20180413,267.410004,267.540009,264.01001,265.149994,254.89563,85079200
20180416,267,268.200012,266.070007,267.329987,256.991364,63405300
20180417,269.329987,270.869995,268.75,270.190002,259.740753,64682000
20180418,270.690002,271.299988,269.869995,270.390015,259.933044,57303900
20180419,269.649994,269.880005,267.720001,268.890015,258.491058,77655900
20180420,268.809998,269.059998,265.609985,266.609985,256.299194,99953100
20180423,267.26001,267.890015,265.350006,266.570007,256.260742,65558000
20180424,267.730011,267.980011,261.279999,262.980011,252.809601,112885500
20180425,262.910004,264.130005,260.850006,263.630005,253.434433,103840900
20180426,264.790009,267.25,264.290009,266.309998,256.010803,67731900
20180427,267,267.339996,265.5,266.559998,256.25116,57053600
20180430,267.26001,267.890015,264.429993,264.51001,254.280426,82182300
20180501,263.869995,265.100006,262.109985,264.980011,254.732254,74203400
20180502,264.76001,265.679993,262.76001,263.200012,253.021103,86368900
20180503,262.26001,263.359985,259.049988,262.619995,252.463531,136311500
20180504,261.519989,266.790009,261.149994,266.019989,255.731979,91222100
20180507,266.890015,268.019989,266.109985,266.920013,256.597229,55304900
20180508,266.5,267.329987,265.149994,266.920013,256.597229,67499200
20180509,267.679993,269.869995,267.089996,269.5,259.077454,59666100
20180510,270.339996,272.390015,270.220001,272.019989,261.499969,72063900
20180511,272.160004,273.149994,271.579987,272.850006,262.297882,59871500
20180514,273.339996,274.079987,272.359985,272.980011,262.422882,54790600
20180515,271.589996,271.609985,270.029999,271.100006,260.61557,87036100
20180516,271.140015,272.76001,271.109985,272.23999,261.711456,53942600
20180517,271.940002,273.230011,271.130005,272.01001,261.490387,56536400
20180518,271.619995,272.029999,270.929993,271.329987,260.836639,64368000
20180521,273.01001,273.980011,272.570007,273.369995,262.797729,58025900
20180522,273.959991,274.25,272.23999,272.609985,262.067108,52966400
20180523,271.170013,273.390015,270.98999,273.359985,262.788147,64694200
20180524,272.910004,273.220001,270.779999,272.799988,262.249786,76043800
20180525,272.149994,272.859985,271.579987,272.149994,261.624939,56374800
20180529,270.309998,271.170013,267.76001,269.019989,258.615997,115908600
20180530,270.5,273.109985,270.420013,272.609985,262.067108,69678400
20180531,272.149994,272.48999,270.26001,270.940002,260.461731,93519900
20180601,272.410004,273.940002,272.329987,273.600006,263.01886,71258400
20180604,274.529999,275.190002,274.26001,274.899994,264.268585,45385200
20180605,275.049988,275.529999,274.179993,275.100006,264.460876,51135000
20180606,275.790009,277.519989,275.089996,277.399994,266.671906,62732200
20180607,277.950012,278.279999,276.339996,277.369995,266.643097,72969400
20180608,276.850006,278.25,276.660004,278.190002,267.431396,72139700
20180611,278.440002,279.369995,278.309998,278.559998,267.787018,58892500
20180612,279.029999,279.329987,278.190002,278.920013,268.133179,72329000
20180613,279.190002,279.480011,277.799988,278.029999,267.277557,79070600
20180614,279.01001,279.329987,278.059998,278.730011,267.95047,77097600
20180615,276.600006,277.51001,275.350006,277.130005,267.608673,120041600
20180618,275.48999,276.700012,274.950012,276.559998,267.058228,52917600
20180619,274,275.75,273.529999,275.5,266.034668,97531500
20180620,276.269989,276.720001,275.589996,275.970001,266.488495,53785500
20180621,275.959991,275.980011,273.679993,274.23999,264.817963,71061400
20180622,275.660004,275.790009,274.48999,274.73999,265.300781,54898500
20180625,273.440002,273.619995,269.100006,271,261.68924,137854200
20180626,271.640015,272.559998,270.790009,271.600006,262.268646,68547400
20180627,272.26001,273.869995,269.179993,269.350006,260.095917,105110700
20180628,269.290009,271.75,268.48999,270.890015,261.583008,76650500
20180629,272.119995,273.660004,271.149994,271.279999,261.959656,97592500
20180702,269.51001,272.040009,269.23999,271.859985,262.519714,63554800
20180703,272.869995,272.980011,270.420013,270.899994,261.592651,42187100
20180705,272.170013,273.179993,270.959991,273.109985,263.726685,56925900
20180706,273.140015,275.839996,272.709991,275.420013,265.957367,66493700
20180709,276.549988,277.959991,276.5,277.899994,268.352203,50550400
20180710,278.410004,279.01001,278.079987,278.899994,269.31778,51966800
20180711,277.149994,278.040009,276.519989,276.859985,267.3479,77054700
20180712,278.279999,279.429993,277.600006,279.369995,269.771698,60124700
20180713,279.170013,279.929993,278.660004,279.589996,269.9841,48216000
20180716,279.640015,279.799988,278.839996,279.339996,269.742706,48201000
20180717,278.470001,280.910004,278.410004,280.470001,270.833862,52315500
20180718,280.559998,281.179993,280.059998,281.059998,271.403625,44593500
20180719,280.309998,280.73999,279.459991,280,270.380035,61412100
20180720,279.769989,280.480011,279.5,279.679993,270.071014,82337700
20180723,279.450012,280.429993,279.059998,280.200012,270.573181,47047600
20180724,281.790009,282.559998,280.630005,281.609985,271.934723,68026900
20180725,281.329987,284.369995,281.279999,284.01001,274.252289,78882900
20180726,283.200012,284.109985,283.089996,283.339996,273.605255,57919500
20180727,283.709991,283.820007,280.380005,281.420013,271.751282,76768700
20180730,281.51001,281.690002,279.359985,279.950012,270.331787,63742500
20180731,280.809998,282.019989,280.380005,281.329987,271.664337,68570500
20180801,281.559998,282.130005,280.130005,280.859985,271.21048,53853300
20180802,279.390015,282.579987,279.160004,282.390015,272.687958,63426400
20180803,282.529999,283.660004,282.329987,283.600006,273.856323,53935400
20180806,283.640015,284.98999,283.200012,284.640015,274.860626,39400900
20180807,285.390015,286.01001,285.23999,285.579987,275.76828,43196600
20180808,285.390015,285.910004,284.940002,285.459991,275.652405,42114600
20180809,285.529999,285.970001,284.920013,285.070007,275.275879,35717000
20180810,283.450012,284.059998,282.359985,283.160004,273.431488,77076000
20180813,283.470001,284.160004,281.769989,282.100006,272.407898,65732900
20180814,282.920013,284.170013,282.480011,283.899994,274.146027,43842000
20180815,282.380005,282.540009,280.160004,281.779999,272.098907,102925400
20180816,283.399994,285.040009,283.359985,284.059998,274.300568,69967900
20180817,283.829987,285.559998,283.369995,285.059998,275.266144,65618500
20180820,285.570007,285.970001,285.059998,285.670013,275.855225,39807500
20180821,286.25,287.309998,285.709991,286.339996,276.502228,67272000
20180822,285.880005,286.76001,285.579987,286.170013,276.338074,44993300
20180823,285.970001,286.940002,285.429993,285.790009,275.9711,49204900
20180824,286.440002,287.670013,286.380005,287.51001,277.631989,57487400
20180827,288.859985,289.899994,288.679993,289.779999,279.824005,57072400
20180828,290.299988,290.420013,289.399994,289.920013,279.959229,46943500
20180829,290.160004,291.73999,289.890015,291.480011,281.465637,61485500
20180830,290.940002,291.359985,289.630005,290.299988,280.326172,61229500
20180831,289.839996,290.809998,289.290009,290.309998,280.335785,66140800
20180904,289.839996,290.209991,288.679993,289.809998,279.852997,57594400
20180905,289.410004,289.640015,287.890015,289.029999,279.099762,72452400
20180906,289.149994,289.48999,287,288.160004,278.259705,65909900
20180907,286.980011,288.700012,286.709991,287.600006,277.718964,73524800
20180910,288.73999,289.040009,287.880005,288.100006,278.201721,50210900
20180911,287.369995,289.549988,286.980011,289.049988,279.11908,50530500
20180912,289.059998,289.799988,288.230011,289.119995,279.186707,59810800
20180913,290.320007,291.040009,290,290.829987,280.837921,51034200
20180914,291.059998,291.269989,290,290.880005,280.88623,55079900
20180917,290.820007,290.859985,289.029999,289.339996,279.399139,68244000
20180918,289.579987,291.579987,289.549988,290.910004,280.915222,61930400
20180919,290.970001,291.690002,290.829987,291.220001,281.214539,49080600
20180920,292.640015,293.940002,291.23999,293.579987,283.4935,100360600
